Source,Filename,Bedreiging,Categorie,Citaat
knmi,0,De frequentie en intensiteit van bosbranden neemt wereldwijd toe.,Ecologisch,Wildfire occurrence and intensity are increasing globally as a result of climate change.
knmi,0,De risico's en impact van bosbranden in Nederland worden verwacht te verergeren.,Ecologisch,wildfire risks and impacts are projected to worsen in the near future.
knmi,0,Huidige strategieën voor bosbrandbeheer zijn niet duurzaam.,Sociaal & Maatschappelijk,current wildfire strategies are not sustainable with the increasing risks.
knmi,0,"De noodzaak van evacuaties door bosbranden, wat kwetsbare gemeenschappen kan beïnvloeden.",Sociaal & Maatschappelijk,vulnerable communities are likely affected
knmi,0,De effectiviteit van brandbestrijdingsinspanningen beïnvloedt de verspreiding van natuurbranden.,Ecologisch,"The effectiveness of control efforts, i.e. efficiency of fire control in different attack phases or attack strategies, is another factor that influences wildfire propagation."
knmi,0,De complexiteit van natuurbrandbeheer door de vele betrokken factoren.,Ecologisch,"the abundance of components that play a part in the matter, is demonstrative of the complexity of wildfire management."
knmi,0,De afhankelijkheid van internationale samenwerking voor het beheer van natuurbrandrisico's.,Geopolitiek & militair,EGFF is a team of experts from more than 40 countries that focuses on monitoring catastrophic wildfire trends and developing adequate European responses together with the EU Member States.
knmi,0,De onvoorbereidheid van de Nederlandse hulpdiensten voor toekomstige bosbranden.,Sociaal & Maatschappelijk,questions on whether the Dutch emergency services are currently prepared for potentially even more disastrous future wildfire events
knmi,0,De rol van meteorologie in de brandbestrijding is onvoldoende geïntegreerd.,Ecologisch,how poorly meteorology is integrated in the fire and emergency services as well as in the control room.
knmi,0,De noodzaak voor een gezamenlijke visie en vocabulaire tussen meteorologen en operationele diensten.,Sociaal & Maatschappelijk,room for improvement when it comes to getting the same vision and vocabulary between meteorologists and operational services
knmi,0,De huidige aanpak van natuurbrandbeheer in Nederland is reactief in plaats van proactief.,Sociaal & Maatschappelijk,"in wildfire management the Netherlands (as in most countries worldwide) is currently still reactive, meaning that actions are taken when an incident is reported."
knmi,0,De noodzaak voor samenwerking met belanghebbenden en specialisten in operationele disciplines.,Sociaal & Maatschappelijk,close collaborations with stakeholders and specialists from operational disciplines are required.
knmi,0,De impact van klimaatverandering op de frequentie van bosbranden.,Ecologisch,Climate change is considered the major driver behind the observed rising trends in wildfire intensity and frequency.
knmi,0,"De sociale gevolgen van bosbranden, zoals mentale en fysieke gezondheidsproblemen.",Gezondheid,mental and physical health issues
knmi,0,"De economische schade door bosbranden, waaronder materiële schade die kan oplopen tot miljoenen euro's.",Economisch,material damages adding up to millions of euros
knmi,1,De impact van aerosolen op de atmosfeer is significant en onzeker.,Ecologisch,The impact of aerosols on the atmosphere is widely acknowledged as one of the most significant and uncertain aspects of climate change projections.
knmi,1,Aerosolen hebben een negatieve invloed op de menselijke gezondheid.,Gezondheid,There is growing concern for the impact of aerosols on human health.
knmi,1,De invloed van broeikasgassen op de energiebalans van de aarde en wereldwijde opwarming.,Ecologisch,Greenhouse gases (GHG) influence the energy balance of the Earth by absorbing thermal infrared radiation emitted by the Earth's surface.
knmi,1,De vernietiging van de ozonlaag door antropogene gassen is een bedreiging voor het leven op aarde.,Gezondheid,"However, some anthropogenically produced gases can destroy the ozone layer in the polar regions during springtime."
knmi,1,Onvoldoende monitoring van broeikasgassen en aerosolen.,Ecologisch,The global surface monitoring network for greenhouse gases has a strongly heterogeneous global coverage.
knmi,1,Verlies van biodiversiteit door atmosferische depositie en klimaatverandering.,Ecologisch,"Environmental Effects and Interactions of Stratospheric Ozone Depletion, UV Radiation, and Climate Change."
knmi,1,Onvoldoende monitoring van vluchtige organische stoffen (VOCs).,Ecologisch,"Gaps in VOC monitoring may be a real gap due to a lack of measurements, or an apparent gap because existing measurements are not incorporated into the GAW framework."
knmi,1,Onzekerheden in de evaluatie van atmosferische chemie modellen.,Ecologisch,trends and uncertainties
knmi,2,Afhankelijkheid van crowdsourced data voor meteorologische observaties.,Technologisch & digitaal,The availability of WOW data is drastically changing the landscape of meteorological data and the implications are large.
knmi,2,De noodzaak voor nieuwe beleidslijnen voor 3PD en datamanagement.,Technologisch & digitaal,Key to the success of this process is defining new policies for 3PD and aligning them with existing data management policies and (inter) national legislation.
knmi,2,De impact van extreme weersomstandigheden op stedelijke gebieden.,Ecologisch,"taking the pulse to cities during the onset of extreme weather events (e.g. heatwaves, rainfall events like Limburg 2021)."
knmi,2,De uitdaging om een gezonde en langdurige band met de samenleving op te bouwen.,Sociaal & Maatschappelijk,Only in this way can we turn the initial dependency into a healthy and longlasting bond with society.
knmi,3,Onbekende variabiliteit in de submesoschaal lucht-zeeverbinding.,Ecologisch,unknown source of variability?
knmi,3,Verstoorde koppeling tussen oceaan en atmosfeer in klimaat- en weer modellen.,Ecologisch,climate and weather models distort the coupling of the ocean to the atmosphere
knmi,3,Gemiste belangrijke bronnen van variabiliteit in het aardse systeem.,Ecologisch,may miss important sources of variability in the Earth system.
